StringID,zh,en,ja
EVENT_003_INFO,,,
EVENT_DETAIL_003_TITLE,乞巧大会,Qiqiao Festival,
EVENT_DETAIL_003_BODY0,乞巧大会每两年召开一次，是最受芸台人重视的大型活动。以前似乎是为祭祀双星祈求祝福的节日，但如今已经演变成了更具有竞争性的现代盛会，许多传统习俗也不再为大众所知。,"Held once every two years, the Qiqiao Festival is a major event deeply valued by the people of Yuntai. It was once a traditional celebration to honor the Double Stars and pray for blessings, but has since evolved into a more competitive modern spectacle. Many of its original customs have faded from public knowledge.",
EVENT_DETAIL_003_BODY1,,,
EVENT_004_NAME,芸台市封城,City Lockdown in Yuntai,
EVENT_004_INFO,,,
EVENT_DETAIL_004_TITLE,芸台市封城,City Lockdown in Yuntai,
EVENT_DETAIL_004_BODY0,每年乞巧大会的三日期间，芸台市会进行封城，暂时市内外阻止人员往来。近几年芸台局势似乎并不太平，即使实施了封城，大会期间也偶尔会出现骚乱。,"During the three-day Qiqiao Festival, Yuntai City enforces a lockdown, temporarily restricting travel in and out of the city. In recent years, the city's situation has been increasingly unstable, despite the lockdown, disturbances have occasionally broken out during the festival.",
EVENT_DETAIL_004_BODY1,,,
EVENT_005_NAME,乘务长的奇怪指令,The Purser's Strange Orders,
EVENT_005_INFO,,,
EVENT_DETAIL_005_TITLE,乘务长的奇怪指令,The Purser's Strange Orders,
EVENT_DETAIL_005_BODY0,挡在头等舱前的乘务员称，乘务长忽然要求她站在此地等待，在收到新消息前绝对不能离开岗位。而自从她收到这条指令，似乎已经过了许久。,"The flight attendant blocking the entrance to first class claims the purser suddenly instructed her to stand guard at her current post and not leave until further notice. A long time has passed since the order, and no follow-up has been received.",
EVENT_DETAIL_005_BODY1,,,
EVENT_006_NAME,神秘铜镜,Mysterious Bronze Mirror,
EVENT_006_INFO,,,
EVENT_DETAIL_006_TITLE,神秘铜镜,Mysterious Bronze Mirror,
EVENT_DETAIL_006_BODY0,某次循环中，重伤的周书拿出了一面古朴的铜镜，而后消失在铜镜所发出的白光之中。,"In one loop, the heavily injured Page took out an ancient-looking bronze mirror and then vanished into the white light it emitted.",
EVENT_DETAIL_006_BODY1,,,
EVENT_007_NAME,受温度影响的蛛丝,Spider Silk Affected by Temperature,
EVENT_007_INFO,,,
EVENT_DETAIL_007_TITLE,受温度影响的蛛丝,Spider Silk Affected by Temperature,
EVENT_DETAIL_007_BODY0,我与会场上的木偶工匠聊了聊，得知了芸台本地匠人喜欢用与蛛丝质地相近的丝线连接木偶。而我在飞机上见到的奇怪人们身上正缠绕着类似的丝线。那位工匠提到过，这些蛛丝在遇热时会融化，遇冷则会催化断裂，失去弹性。,"Through a conversation with a puppet craftsman, I learned that local artisans in Yuntai like to use thread similar in texture to spider silk to connect puppets. I recalled seeing similar threads wrapped around the strange passengers on the plane. The craftsman mentions that these silk threads melt when heated, become brittle, and lose elasticity when exposed to cold.",
EVENT_DETAIL_007_BODY1,,,
EVENT_008_NAME,循环播放的奇怪鼓声,Strange Repeating Drumbeat,
EVENT_008_INFO,,,
EVENT_DETAIL_008_TITLE,循环播放的奇怪鼓声,Strange Repeating Drumbeat,
EVENT_DETAIL_008_BODY0,古怪团体的成员似乎想要在摊位周围循环播放某种鼓声，我在飞机上时也听过类似的声音，似乎也被设置成了循环播放。这个古怪团体成员的穿着和曾在飞机上杀死我的那个人相同。我想，他们播放鼓声的动机，或许是一致的。,A member of the strange group seems intent on playing a drumbeat on loop near their stall. I've heard the same rhythm on the airplane—it had also been set on loop. The member’s outfit matches that of the one who killed me on the plane; I believe the motivation behind playing the drumbeat is the same.,
EVENT_DETAIL_008_BODY1,,,
EVENT_009_NAME,灯笼示意图,Lantern Placement Diagram,
EVENT_009_INFO,,,
EVENT_DETAIL_009_TITLE,灯笼示意图,Lantern Placement Diagram,
EVENT_DETAIL_009_BODY0,,,
EVENT_DETAIL_009_BODY1,,,
EVENT_010_NAME,新的一天,A New Day,
EVENT_010_INFO,经历了飞机上的一系列事件后，我在昨晚告别周书回到了酒店休息。次日清早，我收到了好友沈梦之的消息，随后离开了酒店。,"After the series of incidents on the plane, I parted ways with Page and returned to the hotel to rest. Early the next morning, I received a message from my friend Noema and left the hotel shortly after.",
EVENT_DETAIL_010_TITLE,新的一天,A New Day,
EVENT_DETAIL_010_BODY0,经历了飞机上的一系列事件后，我在昨晚告别周书回到了酒店休息。次日清早，我收到了好友沈梦之的消息，随后离开了酒店。,"After the series of incidents on the plane, I parted ways with Page and returned to the hotel to rest. Early the next morning, I received a message from my friend Noema and left the hotel shortly after.",
EVENT_DETAIL_010_BODY1,,,
EVENT_011_NAME,公寓楼中的怪物,The Creature in the Apartment Building,
EVENT_011_INFO,,,
EVENT_DETAIL_011_TITLE,公寓楼中的怪物,The Creature in the Apartment Building,
EVENT_DETAIL_011_BODY0,沈梦之居住的公寓楼中出现了诡异的怪物，它们的形态与昨夜飞机上的异化乘客很相似。,The Creature in the Apartment Building	Strange monsters appeared in the apartment building where Noema lives. Their forms closely resemble the mutated passengers from the plane the night before.,
EVENT_DETAIL_011_BODY1,,,
EVENT_012_NAME,奇怪的告示栏,Strange Notice Board,
EVENT_012_INFO,,,
EVENT_DETAIL_012_TITLE,奇怪的告示栏,Strange Notice Board,
EVENT_DETAIL_012_BODY0,似乎是金兰观张贴的告示，内容说不出的诡异。但周书曾说过，金兰观是芸台大会的主要负责方，也许仔细阅读这些告示会对前进有所帮助。,"It seems to be a notice posted by Jinlan Temple, but there is something unsettling about its contents. Zhou Shu once mentioned that Jinlan Temple is one of the main organizers of the Yuntai Festival, so reading these notices carefully may help with moving forward.",
EVENT_DETAIL_012_BODY1,,,
EVENT_013_NAME,梦中人,The One from the Dream,
EVENT_013_INFO,,,
EVENT_DETAIL_013_TITLE,梦中人,The One from the Dream,
EVENT_DETAIL_013_BODY0,极乐戏团的成员称呼我为梦中人。它口中的话语癫狂却似乎有着深意，这究竟是什么意思？,"A member of Troupe Elysium refers to me as “the one within the dream.” Their words sound frenzied, yet seem to carry hidden meaning—what could it possibly mean?",
EVENT_DETAIL_013_BODY1,,,
EVENT_014_NAME,沈梦之的挚友,Noema's Closest Friend,
EVENT_014_INFO,,,
EVENT_DETAIL_014_TITLE,沈梦之的挚友,Noema's Closest Friend,
EVENT_DETAIL_014_BODY0,何以真与沈梦之从初中便是亲密的伙伴，她们形影不离，直到高中毕业才不得不分开,"Veris and Noema had been inseparable companions since middle school. They were always together, only parting ways after graduating from high school.",
EVENT_DETAIL_014_BODY1,,,
EVENT_015_NAME,沈梦之的家门钥匙,Noema's Key,
EVENT_015_INFO,,,
EVENT_DETAIL_015_TITLE,沈梦之的家门钥匙,Noema's Key,
EVENT_DETAIL_015_BODY0,看起来平平无奇的钥匙，上面有些生锈了。,An ordinary-looking key with some rust on its surface.,
EVENT_DETAIL_015_BODY1,,,
EVENT_000_NAME,梦魇,Nightmare,
EVENT_000_INFO,缠绕的蛛丝，诡异的黑影，破朔迷离的沈梦之。我的挚友，这三年你究竟经历了什么？ 这场噩梦是否在暗示些什么...,"Entangled webs, eerie shadow, and Noema...what has truly happened to you over these past three years? Could this nightmare be trying to reveal something…?",
EVENT_DETAIL_000_TITLE,梦魇,Nightmare,
EVENT_DETAIL_000_BODY0,缠绕的蛛丝，诡异的黑影，破朔迷离的沈梦之。我的挚友，这三年你究竟经历了什么？ 这场噩梦是否在暗示些什么...,"Entangled webs, eerie shadow, and Noema...what has truly happened to you over these past three years? Could this nightmare be trying to reveal something…?",
EVENT_DETAIL_000_BODY1,,,
EVENT_016_NAME,陌生的起点,A Strange Beginning,
EVENT_016_INFO,,,
EVENT_DETAIL_016_TITLE,陌生的起点,A Strange Beginning,
EVENT_DETAIL_016_BODY0,沈梦之起初并不理解家中长辈与周围人为何如此重视那些祭仪、规矩与传承。对年少的她而言，那只是一套繁琐的流程，难以解释，也难以亲近。她试着以旁观者的角度看待这一切，却始终无法真正明白，这份被许多人视作理所当然的责任，究竟意味着什么。,"At first, Noema could not understand why her elders valued rituals, rules, and traditions so deeply. To her younger self, they felt like complicated procedures—hard to explain and harder to connect with. She tried to see them from an outsider’s view, but could never grasp the meaning of a responsibility others simply accepted.",
EVENT_DETAIL_016_BODY1,,,
EVENT_017_NAME,动摇,Doubt,
EVENT_017_INFO,,,
EVENT_DETAIL_017_TITLE,动摇,Doubt,
EVENT_DETAIL_017_BODY0,随着接触教派事宜越来越深，沈梦之开始反复审视自己：她一面遵循着被安排好的道路前进，一面却不断怀疑，这究竟是不是自己真正想要的人生。那些被灌输的意义、被强调的职责，以及周围人理所当然的期待，都使她感到无比迷惘。比起外界的要求，更令她不安的是，她开始分不清自己到底是在顺从，还是在主动选择。,"As Noema became more involved in the order, she repeatedly questioned herself. She followed the path laid before her, yet doubted whether it was truly the life she wanted. The duties and expectations placed upon her left her deeply lost, and more troubling still, she could no longer tell whether she was obeying—or choosing for herself.",
EVENT_DETAIL_017_BODY1,,,
EVENT_018_NAME,继承者,Heir,
EVENT_018_INFO,,,
EVENT_DETAIL_018_TITLE,继承者,Heir,
EVENT_DETAIL_018_BODY0,在家族事务真正落到自己肩上后，沈梦之不得不比过去更快地成长。曾经无法理解的规则，成了她如今必须亲自维系的秩序；曾经可以回避的责任，也一步步变成了无法推脱的现实。她开始学习如何处理家族留下的一切，并试着以自己的方式接手这份事业。她成了沈家最年轻的家主、最强大的祭司，唯独不再是从前的自己,"When her family’s responsibilities fell upon her, Noema had no choice but to grow up quickly. The rules she once questioned became the order she had to uphold, and the duties she once avoided became unavoidable. She learned to carry her family’s legacy, and becamed the youngest head of the Shen family and its most powerful ritualist.",
EVENT_DETAIL_018_BODY1,,,
EVENT_019_NAME,规则1,Rule1,
EVENT_019_INFO,,,
EVENT_DETAIL_019_TITLE,规则1,Rule1,
EVENT_DETAIL_019_BODY0,1.若您在离开前方街道后，发现自己再次进入相同街道，请保持冷静注意观察。,"1. If you leave the street ahead and later find yourself entering the same street again, stay calm and observe your surroundings.",
EVENT_DETAIL_019_BODY1,,,
EVENT_020_NAME,规则2,Rule2,
EVENT_020_INFO,,,
EVENT_DETAIL_020_TITLE,规则2,Rule2,
EVENT_DETAIL_020_BODY0,2.经幸存者证言，您第一次通过的街道为绝对安全的，可以此为参照。,"2. According to survivor testimony, the street you pass through the first time is absolutely safe. Use it as your reference.",
EVENT_DETAIL_020_BODY1,,,
EVENT_021_NAME,规则3,Rule3,
EVENT_021_INFO,,,
EVENT_DETAIL_021_TITLE,规则3,Rule3,
EVENT_DETAIL_021_BODY0,3.如果您发现街道中存在有异常现象，请立刻转身，向左离开街道。,"3. If you notice any abnormalities on the street, turn around immediately and leave to the left.",
EVENT_DETAIL_021_BODY1,,,
EVENT_022_NAME,规则4,Rule4,
EVENT_022_INFO,,,
EVENT_DETAIL_022_TITLE,规则4,Rule4,
EVENT_DETAIL_022_BODY0,4.如果街道中一切正常，请继续前进，向右前往戏台方向。,"4. If everything seems normal, continue forward and head right toward the stage.",
EVENT_DETAIL_022_BODY1,,,
EVENT_023_NAME,规则5,Rule5,
EVENT_023_INFO,,,
EVENT_DETAIL_023_TITLE,规则5,Rule5,
EVENT_DETAIL_023_BODY0,5.本条街道仅有约百米长，若您发现街道延申至极远方向，请......,"5. This street is only about a hundred meters long. If you find it stretching far into the distance, please…",
EVENT_DETAIL_023_BODY1,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TASK_001_NAME,寻找异常事件的真相。,Figure out what is going on,
TASK_001_INFO,我应该与机舱中的人交流一下。,Perhaps I should talk to the passengers in the cabin.,
TASK_001_DETAIL_TITLE,可以做的事情：,Things I can do:,
TASK_001_DETAIL_BODY0,1.  与一家三口对话。  \n 2. 与乘务员对话。 \n 3. 与穿着奇特的女生对话。,1. Talk to the family of three \n2. Talk to the flight attendant \n3. Talk to the girl in unusual clothing.,
TASK_001_DETAIL_BODY1,,,
TASK_002_NAME,寻找异常事件的真相,Figure out what is going on,
TASK_002_INFO,我应该与机舱中的人交流一下。,Perhaps I should talk to the passengers in the cabin.,
TASK_002_DETAIL_TITLE,可以做的事情：,Things I can do:,
TASK_002_DETAIL_BODY0,为饥饿的女生寻找飞机餐。,Find an In-Flight Meal for the Hungry Girl,
TASK_002_DETAIL_BODY1,,,
TASK_003_NAME,寻找离开飞机的办法。,"Find a Way to Leave the Plane
",
TASK_003_INFO,飞机上存在着目前无法解决的危险，必须想办法逃离这里。,There is currently an unsolvable danger on the plane and I should find a way out ASAP!,
TASK_003_DETAIL_TITLE,可以做的事情：,Things I can do:,
TASK_003_DETAIL_BODY0,与周书交谈。,Talk to Page,
TASK_003_DETAIL_BODY1,,,
TASK_004_NAME,前往金门酒店,Get to the Hotel,
TASK_004_INFO,,,
TASK_004_DETAIL_TITLE,,,
TASK_004_DETAIL_BODY0,,,
TASK_004_DETAIL_BODY1,,,
TASK_005_NAME,前往金门酒店,Get to the Hotel,
TASK_005_INFO,,,
TASK_005_DETAIL_TITLE,可以做的事情：,Things I can do:,
TASK_005_DETAIL_BODY0,帮花灯摊贩挂好花灯。,Help the lantern vendor hang up the lanterns.,
TASK_005_DETAIL_BODY1,,,
TASK_006_NAME,前往金门酒店,Get to the Hotel,
TASK_006_INFO,,,
TASK_006_DETAIL_TITLE,可以做的事情：,Things I can do:,
TASK_006_DETAIL_BODY0,帮工作人员维修音响。,Help the staff repair the sound system.,
TASK_006_DETAIL_BODY1,,,
TASK_007_NAME,与沈梦之会和,Meet Up with Noema,
TASK_007_INFO,前往右侧的会场与沈梦之会合。,Head to the venue on the right to meet up with Noema.,
TASK_007_DETAIL_TITLE,,,
TASK_007_DETAIL_BODY0,,,
TASK_007_DETAIL_BODY1,,,
TASK_008_NAME,取回礼物,Retrieve the Gift,
TASK_008_INFO,进入左侧街道上的公寓楼，前往301号房间，取得沈梦之留下的礼物。,"Enter the apartment building on the street to the left, go to Room 301, and retrieve the gift Noema left behind.",
TASK_008_DETAIL_TITLE,,,
TASK_008_DETAIL_BODY0,,,
TASK_008_DETAIL_BODY1,,,
TASK_009_NAME,回到会场,Return to the Venue,
TASK_009_INFO,离开公寓楼，前往右侧的会场寻找沈梦之。,Leave the apartment building and head to the venue on the right to find Noema.,
TASK_009_DETAIL_TITLE,,,
TASK_009_DETAIL_BODY0,,,
TASK_009_DETAIL_BODY1,,,
TASK_010_NAME,前往戏台,Head to the Stage,
TASK_010_INFO,前往戏台处观看沈梦之的表演。,Go to the stage to watch Noema’s performance.,
TASK_010_DETAIL_TITLE,,,
TASK_010_DETAIL_BODY0,,,
TASK_010_DETAIL_BODY1,,,
TASK_011_NAME,查看告示牌,Check the Notice Board,
TASK_011_INFO,告示上似乎有关于通过道路的提示，在继续前进之前，先去查看一下告示牌吧。,"The notice seems to contain hints about how to proceed. Before moving forward, take a look at it.",
TASK_011_DETAIL_TITLE,,,
TASK_011_DETAIL_BODY0,,,
TASK_011_DETAIL_BODY1,,,
TASK_012_NAME,协助表演,Assist the Performance?,
TASK_012_INFO,以志愿者的身份协助沈梦之完成大会上的表演。,Help Noema complete her performance at the festival as a volunteer.,
TASK_012_DETAIL_TITLE,,,
TASK_012_DETAIL_BODY0,,,
TASK_012_DETAIL_BODY1,,,
